ContentTypeID	ContentID	TypeOrder	EntryInL1	EntryInL2	Frequency	RecordingFileName
743200	430	0	happy			
742433	430	0	weak			
742689	430	0	catch			
742945	430	0	Soheili			
743201	430	0	history			
742434	430	0	government			
742690	430	0	Genius			
742946	430	0	I hope			
743202	430	0	venue 			
742435	430	0	all			
742691	430	0	They predicted			
742947	430	0	are you good?			
743203	430	0	variety			
742436	430	0	government 			
742692	430	0	predict 			
742948	430	0	have			
743204	430	0	special 			
742437	430	0	stood			
742693	430	0	Was achieved			
742949	430	0	over			
743205	430	0	public 			
742438	430	0	did not let 			
742694	430	0	student			
742950	430	0	thank you			
743206	430	0	carpets of 			
742439	430	0	resources 			
742695	430	0	assistant  			
742951	430	0	news 			
743207	430	0	Strength			
742440	430	0	To steal			
742696	430	0	Albert 			
742952	430	0	the health			
743208	430	0	unique 			
742441	430	0	family 			
742697	430	0	Physicist			
742953	430	0				
743209	430	0	Parthians			
742442	430	0	Was trained			
742698	430	0	To be selected			
742954	430	0	Wow			
743210	430	0	Returns			
742443	430	0	chef 			
742699	430	0	To travel			
742955	430	0	Sweets			
743211	430	0	found 			
742444	430	0	simple 			
742700	430	0	short 			
742956	430	0	nuts 			
743212	430	0				
742445	430	0	so			
742701	430	0	Residence			
742957	430	0	is beautiful 			
743213	430	0	long			
742446	430	0	position			
742702	430	0	knowledge of 			
742958	430	0	you can have it 			
743214	430	0	History of			
742447	430	0	ministry 			
742703	430	0	who			
742959	430	0	Do not compliment			
743215	430	0				
742448	430	0	He was paying attention			
742704	430	0	bosses 			
742960	430	0	s (plural sign)			
743216	430	0	one thousand			
742449	430	0	decrease 			
742705	430	0	invited 			
742961	430	0	is yours 			
743217	430	0	cave settlement 			
742450	430	0	court			
742706	430	0	their universities 			
742962	430	0	do you permit 			
743218	430	0	some paintings 			
742451	430	0	combat 			
742707	430	0	to teach			
742963	430	0	your service 			
743219	430	0	picture 			
742452	430	0	growth 			
742708	430	0	to stay 			
742964	430	0	Let's get fired			
743220	430	0	animals 			
742453	430	0	security 			
742709	430	0	country 			
742965	430	0				
743221	430	0	on			
742454	430	0	technology 			
742710	430	0	head 			
742966	430	0	yet			
743222	430	0	walls of 			
742455	430	0	his neighbor 			
742711	430	0	it's second leg			
742967	430	0	you did not eat			
743223	430	0	caves			
742456	430	0	peace 			
742712	430	0	his country 			
742968	430	0	your permission 			
743224	430	0	Lorestan 			
742457	430	0	rebels 			
742713	430	0	useful			
742969	430	0	several			
743225	430	0	Mongols			
742458	430	0	Suppressed			
742714	430	0	be			
742970	430	0	place			
743226	430	0	Kamalol Molk			
742459	430	0	works of			
742715	430	0	his entrance 			
742971	430	0	where 			
743227	430	0	Farshchian 			
742460	430	0	acquaintance			
742716	430	0	his death			
742972	430	0	do you want			
743228	430	0	painters 			
742461	430	0	the most recent 			
742717	430	0	did			
742973	430	0	now			
743229	430	0	their works			
742462	430	0	Advanced			
742718	430	0				
742974	430	0	go			
743230	430	0	reputation 			
742463	430	0	sent			
742719	430	0	energy			
742975	430	0	engineer 			
743231	430	0	Development			
742464	430	0	the first time 			
742720	430	0	atomic 			
742976	430	0	Jahan Giri 			
743232	430	0	found			
742465	430	0	1851			
742721	430	0	knowledge			
742977	430	0	neighbor 			
743233	430	0	beautiful			
742466	430	0	established 			
742722	430	0				
742978	430	0	Down- below			
743234	430	0	to write 			
742467	430	0	Scientist			
742723	430	0	technical 			
742979	430	0	ee			
743235	430	0	Nastaliq			
742468	430	0	invited			
742724	430	0	upbringing			
742980	430	0	What good			
743236	430	0	to search 			
742469	430	0	they teach 			
742725	430	0	teacher			
742981	430	0	we want			
743237	430	0	they invent 			
742470	430	0	mining 			
742726	430	0	new			
742982	430	0	there			
743238	430	0	the most beautiful 			
742471	430	0	Medicine			
742727	430	0	station 			
742983	430	0	let			
743239	430	0	bride 			
742472	430	0	Pharmacology			
742728	430	0	aerology			
742984	430	0	present			
743240	430	0	scripts 			
742473	430	0	Military			
742729	430	0	Iran			
742985	430	0	become 			
743241	430	0	Mir Ali			
742474	430	0	third 			
742730	430	0	Compilation			
742986	430	0	devotee			
743242	430	0	Tabrizi			
742475	430	0	central 			
742731	430	0	human 			
742987	430	0	was moving 			
743243	430	0	850			
742476	430	0	the translation of 			
742732	430	0	humble 			
742988	430	0	commander  			
743244	430	0	Mir Emad			
742477	430	0	Persian language			
742733	430	0	patient 			
742989	430	0	army			
743245	430	0	Hasani			
742478	430	0	his other			
742734	430	0	taciturn			
742990	430	0	with difficulty			
743246	430	0	1024			
742479	430	0	Superstitions			
742735	430	0	thoughtful 			
742991	430	0	district 			
743247	430	0	Calligraphers			
742480	430	0	Illiteracy			
742736	430	0	good-tempered			
742992	430	0	neck			
743248	430	0	Prose			
742481	430	0	understanding 			
742737	430	0	always 			
742993	430	0	He was injured			
743249	430	0	Intermediary			
742482	430	0	political			
742738	430	0	was trying 			
742994	430	0	he was coming out			
743250	430	0	His literature			
742483	430	0	information 			
742739	430	0	things 			
742995	430	0	anxious 			
743251	430	0	its authors			
742484	430	0	newspaper of 			
742740	430	0	Dominated			
742996	430	0	Mr			
743252	430	0	subjects 			
742485	430	0	Vaghayeol Etefaghieh			
742741	430	0	various 			
742997	430	0	meeting 			
743253	430	0	championship 			
742486	430	0	printed  			
742742	430	0	French 			
742998	430	0	moment 			
743254	430	0	victories 			
742487	430	0	Period			
742743	430	0	German 			
742999	430	0	a film 			
743255	430	0	failures  			
742488	430	0	Corrupt			
742744	430	0	traditional 			
743000	430	0	his eyes 			
743256	430	0	Ferdowsi			
742489	430	0	Colonial			
742745	430	0	aware 			
743001	430	0	passed 			
743257	430	0	Shahname 			
742490	430	0	England 			
742746	430	0	swimming 			
743002	430	0	childhood 			
743258	430	0	connection 			
742491	430	0	is perfect 			
742747	430	0	he could 			
743003	430	0	devoted			
743259	430	0	How			
742492	430	0	They conspired			
742748	430	0	Successes			
743004	430	0	loved 			
743260	430	0	Attar 			
742493	430	0	Because 			
742749	430	0	acquire  			
743005	430	0	help			
743261	430	0	Mantegho Teir			
742494	430	0	permission 			
742750	430	0	ultimately 			
743006	430	0	student 			
743262	430	0	Rumi			
742495	430	0	theft 			
742751	430	0	Genius			
743007	430	0	first 			
743263	430	0	Masnavi			
742496	430	0	did not give 			
742752	430	0	from 			
743008	430	0	teachers 			
743264	430	0	Spiritual			
742241	430	0	Geography			
742497	430	0	they could			
742753	430	0	90			
743009	430	0	his professor 			
743265	430	0	outstanding 			
742242	430	0	reason			
742498	430	0	Command			
742754	430	0	useful 			
743010	430	0	mathematics 			
743266	430	0	educational 			
742243	430	0	we can			
742499	430	0	Execution			
742755	430	0	hospitals of 			
743011	430	0	amazed 			
743267	430	0	method 			
742244	430	0	Diverse			
742500	430	0	foolish 			
742756	430	0	Switzerland 			
743012	430	0	a course			
743268	430	0	correct 			
742245	430	0	To know			
742501	430	0	to get 			
742757	430	0	died			
743013	430	0	Hardship			
743269	430	0	to live			
742246	430	0	1648195			
742502	430	0				
742758	430	0	based on			
743014	430	0	acceptance 			
743270	430	0	Saadi			
742247	430	0	kilometre 			
742503	430	0	Kashan 			
742759	430	0	his will			
743015	430	0	they catch 			
743271	430	0	author of 			
742248	430	0	square 			
742504	430	0	He was martyred			
742760	430	0	his body			
743016	430	0	20			
743272	430	0	garden			
742249	430	0	the eighteenth 			
742505	430	0	is ready 			
742761	430	0	the birth place 			
743017	430	0	had caught 			
743273	430	0	garden			
742250	430	0	warm			
742506	430	0	personality 			
742762	430	0	his fatherhood 			
743018	430	0	they were thinking 			
743274	430	0	Parvin 			
742251	430	0	dry			
742507	430	0	his serious 			
742763	430	0	Tafreh 			
743019	430	0	has done 			
743275	430	0	Etesami 			
742252	430	0	cold			
742508	430	0	once 			
742764	430	0	buried 			
743020	430	0	his professor 			
743276	430	0	Poets			
742253	430	0	Mountainous			
742509	430	0	voice of			
742765	430	0	surroundings 			
743021	430	0	told			
743277	430	0	Mohammad			
742254	430	0	rainy 			
742510	430	0	high			
742766	430	0	his life 			
743022	430	0	competency			
743278	430	0	Taghi			
742255	430	0	wet			
742511	430	0	destroy 			
742767	430	0	Thus			
743023	430	0	government 			
743279	430	0	Nima Youshij			
742256	430	0	31			
742512	430	0	children 			
742768	430	0	narrates 			
743024	430	0	Dispatched			
743280	430	0	Mahdi 			
742257	430	0	divide 			
742513	430	0				
742769	430	0	physicians			
743025	430	0	courses 			
743281	430	0	Akhavan			
742258	430	0	cities 			
742514	430	0	between			
742770	430	0	hopeless 			
743026	430	0				
743282	430	0	third 			
742259	430	0	villages 			
742515	430	0	rumor 			
742771	430	0	they waited 			
743027	430	0				
743283	430	0	Sohrab			
742260	430	0	centers of 			
742516	430	0	vaccinate 			
742772	430	0	his heart			
743028	430	0	PhD			
743284	430	0	Sepehri			
742261	430	0	Khorasan			
742517	430	0	mad			
742773	430	0	To stand			
743029	430	0	electronic 			
743285	430	0	Ancient			
742262	430	0	Razavi			
742518	430	0	their children 			
742774	430	0	Behavior			
743030	430	0	finished 			
743286	430	0	musical instrument			
742263	430	0	eastern 			
742519	430	0	to vaccinate 			
742775	430	0	subject			
743031	430	0	So that			
743287	430	0	hornpipe			
742264	430	0	Tabriz			
742520	430	0	did not take			
742776	430	0	Nursing			
743032	430	0	their questions 			
743288	430	0	Dulcimer			
742265	430	0	provided			
742521	430	0				
742777	430	0	wanted			
743033	430	0	They were asking			
743289	430	0	have invented 			
742266	430	0	go travelling 			
742522	430	0	pay a fine 			
742778	430	0	his bed 			
743034	430	0	end			
743290	430	0	Roodaki			
742267	430	0	special 			
742523	430	0	جریمه دادند			
742779	430	0	gives			
743035	430	0	his education 			
743291	430	0	they knew			
742268	430	0	we see			
742524	430	0	but			
742780	430	0	Accuracy			
743036	430	0	The most reliable 			
743292	430	0	artists from 			
742269	430	0	Mazandaran 			
742525	430	0	their children 			
742781	430	0	his usual			
743037	430	0	they wanted 			
743293	430	0	like			
742270	430	0	connected 			
742526	430	0	they did not vaccinate 			
742782	430	0	s/he read			
743038	430	0	above			
743294	430	0	Mohammad Reza			
742271	430	0	lake of 			
742527	430	0	unfortunately 			
742783	430	0	world			
743039	430	0	teaching 			
743295	430	0	Shajarian			
742272	430	0	Relationship			
742528	430	0	prevalent 			
742784	430	0	had left			
743040	430	0	research 			
743296	430	0	Shahram 			
742273	430	0	Region of			
742529	430	0	children 			
742785	430	0	fourth			
743041	430	0	aim			
743297	430	0	Nazeri 			
742274	430	0	petroleum			
742530	430	0	they died 			
742786	430	0	old			
743042	430	0	upper 			
743298	430	0	Parviz			
742275	430	0	Gas			
742531	430	0	cemetery			
742787	430	0	various 			
743043	430	0	these			
743299	430	0	Meshkatian			
742276	430	0	they know			
742532	430	0	fathers 			
742788	430	0	Geographical			
743044	430	0	1347			
743300	430	0	old			
742277	430	0	gates of 			
742533	430	0	their mothers 			
742789	430	0	we investigate 			
743045	430	0	decision 			
743301	430	0	Herodotus			
742278	430	0	link			
742534	430	0	tomb 			
742790	430	0	geographical 			
743046	430	0	great			
743302	430	0	Historian			
742279	430	0	ocean 			
742535	430	0	they put			
742791	430	0	is divided 			
743047	430	0	caught 			
743303	430	0	Greek			
742280	430	0	India 			
742536	430	0	tables 			
742792	430	0	allover 			
743048	430	0	Egypt 			
743304	430	0	says 			
742281	430	0	neighbors 			
742537	430	0	the sat 			
742793	430	0	More			
743049	430	0	duration 			
743305	430	0	their offspring			
742282	430	0	Afghanistan			
742538	430	0	They were building			
742794	430	0	Borders			
743050	430	0	methods 			
743306	430	0	they teach			
742283	430	0	Pakistan 			
742539	430	0	now			
742795	430	0	feast 			
743051	430	0	learnt 			
743307	430	0	shooting 			
742284	430	0	Turkmenistan			
742540	430	0	Killed			
742796	430	0	three thousands 			
743052	430	0	invitation 			
743308	430	0	horse riding 			
742285	430	0	Armenia			
742541	430	0	Ignorance			
742797	430	0	is held 			
743053	430	0	Moosa Sadr			
743309	430	0	Truthfulness			
742286	430	0	Turkey			
742542	430	0	Ignorance			
742798	430	0	three hundreds 			
743054	430	0	leader 			
743310	430	0	Polo			
742287	430	0	are			
742543	430	0	time			
742799	430	0	they present			
743055	430	0	regime 			
743311	430	0	sports 			
742288	430	0	tourism 			
742544	430	0	loudly 			
742800	430	0	21			
743056	430	0	Zionist			
743312	430	0	weightlifting			
742289	430	0	fifth 			
742545	430	0	conversation			
742801	430	0	March			
743057	430	0	Training			
743313	430	0	Taekwondo			
742290	430	0	attractive 			
742546	430	0	class			
742802	430	0	word			
743058	430	0	Physical			
743314	430	0	Volleyball			
742291	430	0	Introduces			
742547	430	0	we want			
742803	430	0	in addition 			
743059	430	0	mental			
743315	430	0	Futsal			
742292	430	0	cave			
742548	430	0	speak 			
742804	430	0	Visiting			
743060	430	0	Lebanese			
743316	430	0	part of 			
742293	430	0	Ali Sadr			
742549	430	0	a question 			
742805	430	0	firth			
743061	430	0	the payment			
743317	430	0	253			
742294	430	0	Hamedan			
742550	430	0	Is raised			
742806	430	0	Smaller			
743062	430	0	victory 			
743318	430	0	Ashoora			
742295	430	0	parks of			
742551	430	0	mirror			
742807	430	0	seeing 			
743063	430	0	Khomeini			
743319	430	0	Ceremony			
742296	430	0	wild			
742552	430	0	what is it?			
742808	430	0				
743064	430	0				
743320	430	0				
742297	430	0				
742553	430	0				
742809	430	0				
743065	430	0				
743318	430	0	Ashoora			
742295	430	0	parks of			
742551	430	0	mirror			
742807	430	0	seeing 			
743063	430	0	Khomeini			
743319	430	0	Ceremony			
742296	430	0	wild			
742552	430	0	what is it?			
742808	430	0	Smaller			
743064	430	0	trust 			
743320	430	0	Ta'zieh reading 			
742297	430	0	islands 			
742553	430	0	butterfly 			
742809	430	0	reward 			
743065	430	0	responsibilities  			
743321	430	0	Actors			
742298	430	0	alone 			
742554	430	0	As far as			
742810	430	0	they give			
743066	430	0	domain of			
743322	430	0	Event			
742299	430	0	samples 			
742555	430	0	I read 			
742811	430	0	bill			
743067	430	0	Defense			
743323	430	0	Karbala 			
742300	430	0	Beauties 			
742556	430	0	its concept 			
742812	430	0	parts of 			
743068	430	0	gave			
743324	430	0	Hosein			
742301	430	0	attractions 			
742557	430	0	Poetic			
742813	430	0	They sit down			
743069	430	0	their representative 			
743325	430	0	They show			
742302	430	0	tenth  			
742558	430	0	give an example 			
742814	430	0	a thing 			
743070	430	0	Parliament			
743326	430	0	worth			
742303	430	0	knows 			
742559	430	0	b			
742815	430	0	begins 			
743071	430	0	they selected 			
743327	430	0	comparison 			
742304	430	0	sample 			
742560	430	0	permission 			
742816	430	0	coin 			
743072	430	0	Attack of			
743328	430	0	1308			
742305	430	0	capital			
742561	430	0				
742817	430	0	Sumac			
743073	430	0	regime 			
743329	430	0	helical 			
742306	430	0	Empire			
742562	430	0	A little			
742818	430	0	Samanu			
743074	430	0	soil			
743330	430	0				
742307	430	0	Achaemenids			
742563	430	0	I think			
742819	430	0	red			
743075	430	0				
743331	430	0				
742308	430	0				
742564	430	0				
742820	430	0	garlic 			
743076	430	0	education 			
743332	430	0	films 			
742309	430	0	Naghshe Jahan- a pattern of the world 			
742565	430	0	happy 			
742821	430	0	Oleaster			
743077	430	0	Command			